technique,taskID,mental,physical,temporal,performance,effort,frustration,,,,Legend,
render,VerifyObj_Task,9,9,8,8,12,10,,,,Technique (on table),Intervention Technique
render,IdentifyObj_Task,7,7,2,2,7,0,,,,render,Rendering Order
axis,VerifyObj_Task,10,11,6,6,13,14,,,,axis,Reference Axis
axis,IdentifyObj_Task,10,10,10,5,6,5,,,,click,Click Accuracy
click,VerifyObj_Task,10,10,7,3,7,3,,,,speed,Hover Speed
click,IdentifyObj_Task,7,6,5,0,6,1,,,,none,None (baseline)
speed,VerifyObj_Task,11,5,6,3,13,11,,,,all,All Conditions
speed,IdentifyObj_Task,6,4,5,0,3,5,,,,,
none,VerifyObj_Task,8,4,4,2,13,7,,,,,
none,IdentifyObj_Task,6,3,4,0,3,2,,,,,
all,VerifyObj_Task,8,4,3,8,7,10,,,,,
all,IdentifyObj_Task,6,3,3,0,7,4,,,,,
none,IdentifyObj_Task,0,0,1,0,1,1,,,,,
none,VerifyObj_Task,16,16,15,2,16,18,,,,,
render,IdentifyObj_Task,0,1,0,0,0,0,,,,,
render,VerifyObj_Task,1,2,1,0,1,1,,,,,
axis,IdentifyObj_Task,4,4,2,0,6,2,,,,,
axis,VerifyObj_Task,10,7,3,0,8,8,,,,,
click,IdentifyObj_Task,1,2,2,0,1,0,,,,,
click,VerifyObj_Task,17,17,14,0,13,8,,,,,
speed,IdentifyObj_Task,4,3,3,0,6,4,,,,,
speed,VerifyObj_Task,6,6,6,0,6,3,,,,,
all,IdentifyObj_Task,1,1,1,0,1,0,,,,,
all,VerifyObj_Task,1,1,1,0,1,0,,,,,
none,VerifyObj_Task,3,3,0,0,5,0,,,,,
none,IdentifyObj_Task,0,0,0,0,0,0,,,,,
render,VerifyObj_Task,1,0,0,0,5,0,,,,,
render,IdentifyObj_Task,0,0,0,0,1,0,,,,,
axis,VerifyObj_Task,1,0,0,0,2,0,,,,,
axis,IdentifyObj_Task,0,0,0,0,2,0,,,,,
click,VerifyObj_Task,1,0,0,1,1,0,,,,,
click,IdentifyObj_Task,0,0,0,0,1,0,,,,,
speed,VerifyObj_Task,0,0,1,0,3,0,,,,,
speed,IdentifyObj_Task,0,0,0,0,0,0,,,,,
all,VerifyObj_Task,1,0,0,0,3,0,,,,,
all,IdentifyObj_Task,0,0,0,0,2,0,,,,,
render,IdentifyObj_Task,12,12,7,11,9,12,,,,,
render,VerifyObj_Task,12,12,11,9,12,12,,,,,
axis,IdentifyObj_Task,11,10,10,8,9,9,,,,,
axis,VerifyObj_Task,11,13,12,12,12,12,,,,,
none,IdentifyObj_Task,10,11,10,7,9,8,,,,,
none,VerifyObj_Task,11,8,10,9,11,9,,,,,
click,IdentifyObj_Task,7,8,8,8,8,7,,,,,
click,VerifyObj_Task,11,12,13,7,11,9,,,,,
speed,IdentifyObj_Task,11,11,12,8,12,9,,,,,
speed,VerifyObj_Task,11,11,13,8,12,9,,,,,
all,IdentifyObj_Task,10,10,14,8,14,10,,,,,
all,VerifyObj_Task,12,12,14,4,14,9,,,,,
click,IdentifyObj_Task,8,1,1,2,5,1,,,,,
click,VerifyObj_Task,15,1,1,1,7,0,,,,,
speed,IdentifyObj_Task,1,1,3,0,1,0,,,,,
speed,VerifyObj_Task,3,1,2,0,5,1,,,,,
render,IdentifyObj_Task,3,7,4,3,10,2,,,,,
render,VerifyObj_Task,7,9,1,9,16,8,,,,,
axis,IdentifyObj_Task,5,5,2,8,3,6,,,,,
axis,VerifyObj_Task,12,12,1,10,12,8,,,,,
none,IdentifyObj_Task,13,12,1,12,15,10,,,,,
none,VerifyObj_Task,15,12,1,12,18,14,,,,,
all,IdentifyObj_Task,4,4,1,1,4,1,,,,,
all,VerifyObj_Task,5,1,1,8,5,3,,,,,
click,VerifyObj_Task,8,2,3,3,5,11,,,,,
click,IdentifyObj_Task,4,4,8,0,4,6,,,,,
speed,VerifyObj_Task,4,4,6,0,6,8,,,,,
speed,IdentifyObj_Task,4,4,4,1,2,1,,,,,
render,VerifyObj_Task,4,4,5,1,4,8,,,,,
render,IdentifyObj_Task,3,3,3,0,4,5,,,,,
axis,VerifyObj_Task,3,1,4,1,6,9,,,,,
axis,IdentifyObj_Task,3,3,3,0,1,2,,,,,
none,VerifyObj_Task,4,4,6,1,6,5,,,,,
none,IdentifyObj_Task,2,2,1,0,2,1,,,,,
all,VerifyObj_Task,3,1,3,0,1,1,,,,,
all,IdentifyObj_Task,2,2,1,0,1,1,,,,,
none,IdentifyObj_Task,13,6,6,3,10,2,,,,,
none,VerifyObj_Task,13,7,10,2,13,4,,,,,
click,IdentifyObj_Task,15,3,15,4,13,2,,,,,
click,VerifyObj_Task,16,7,17,0,13,2,,,,,
speed,IdentifyObj_Task,16,11,19,0,12,2,,,,,
speed,VerifyObj_Task,12,6,16,0,14,4,,,,,
render,IdentifyObj_Task,12,8,18,3,14,12,,,,,
render,VerifyObj_Task,12,9,16,3,12,13,,,,,
axis,IdentifyObj_Task,16,11,9,2,15,13,,,,,
axis,VerifyObj_Task,13,12,17,0,12,2,,,,,
all,IdentifyObj_Task,7,7,15,0,6,0,,,,,
all,VerifyObj_Task,15,12,12,2,17,15,,,,,
none,VerifyObj_Task,11,11,9,3,10,11,,,,,
none,IdentifyObj_Task,0,11,7,0,10,7,,,,,
click,VerifyObj_Task,13,12,13,8,16,16,,,,,
click,IdentifyObj_Task,9,11,9,0,9,9,,,,,
speed,VerifyObj_Task,11,11,9,0,11,9,,,,,
speed,IdentifyObj_Task,11,11,9,0,11,8,,,,,
render,VerifyObj_Task,13,13,14,9,12,13,,,,,
render,IdentifyObj_Task,11,11,9,0,11,9,,,,,
axis,VerifyObj_Task,12,11,11,3,11,11,,,,,
axis,IdentifyObj_Task,11,11,9,0,11,9,,,,,
all,VerifyObj_Task,11,13,11,1,11,9,,,,,
all,IdentifyObj_Task,11,11,9,0,11,9,,,,,
speed,VerifyObj_Task,4,5,14,0,14,3,,,,,
speed,IdentifyObj_Task,12,5,14,4,14,0,,,,,
click,VerifyObj_Task,18,14,3,12,20,14,,,,,
click,IdentifyObj_Task,5,16,14,15,14,16,,,,,
axis,VerifyObj_Task,20,0,3,5,20,15,,,,,
axis,IdentifyObj_Task,14,2,7,12,20,19,,,,,
render,VerifyObj_Task,8,12,13,6,15,6,,,,,
render,IdentifyObj_Task,4,4,20,9,7,0,,,,,
none,VerifyObj_Task,0,16,7,0,20,7,,,,,
none,IdentifyObj_Task,15,15,18,0,17,8,,,,,
all,VerifyObj_Task,8,15,8,3,20,0,,,,,
all,IdentifyObj_Task,6,14,20,2,19,0,,,,,
none,IdentifyObj_Task,8,0,11,0,11,12,,,,,
none,VerifyObj_Task,15,9,14,0,16,15,,,,,
speed,IdentifyObj_Task,0,0,0,0,0,0,,,,,
speed,VerifyObj_Task,17,13,17,4,20,16,,,,,
click,IdentifyObj_Task,3,5,3,0,4,0,,,,,
click,VerifyObj_Task,15,13,14,0,17,15,,,,,
axis,IdentifyObj_Task,20,16,17,4,20,20,,,,,
axis,VerifyObj_Task,13,13,13,0,7,7,,,,,
render,IdentifyObj_Task,5,1,0,0,0,0,,,,,
render,VerifyObj_Task,7,5,8,0,3,0,,,,,
all,IdentifyObj_Task,20,20,6,6,20,20,,,,,
all,VerifyObj_Task,14,15,13,0,7,3,,,,,
none,VerifyObj_Task,8,10,6,2,11,11,,,,,
none,IdentifyObj_Task,11,11,9,1,4,1,,,,,
speed,VerifyObj_Task,12,12,14,6,16,11,,,,,
speed,IdentifyObj_Task,12,11,13,2,8,8,,,,,
click,VerifyObj_Task,12,11,14,1,14,14,,,,,
click,IdentifyObj_Task,13,11,14,13,14,14,,,,,
axis,VerifyObj_Task,12,12,12,3,17,11,,,,,
axis,IdentifyObj_Task,12,12,13,1,15,12,,,,,
render,VerifyObj_Task,11,13,12,4,13,10,,,,,
render,IdentifyObj_Task,14,12,8,4,11,10,,,,,
all,VerifyObj_Task,13,11,12,5,13,11,,,,,
all,IdentifyObj_Task,13,15,15,3,17,11,,,,,
none,IdentifyObj_Task,9,9,4,0,10,0,,,,,
none,VerifyObj_Task,16,10,8,0,16,10,,,,,
axis,IdentifyObj_Task,4,4,4,0,7,1,,,,,
axis,VerifyObj_Task,17,17,17,3,18,14,,,,,
render,IdentifyObj_Task,10,10,10,10,10,10,,,,,
render,VerifyObj_Task,12,12,12,0,12,12,,,,,
speed,IdentifyObj_Task,13,12,12,2,11,11,,,,,
speed,VerifyObj_Task,18,18,18,2,18,18,,,,,
click,IdentifyObj_Task,14,14,14,6,14,14,,,,,
click,VerifyObj_Task,20,20,20,0,11,20,,,,,
all,IdentifyObj_Task,9,9,9,1,6,6,,,,,
all,VerifyObj_Task,19,19,19,1,19,16,,,,,
none,VerifyObj_Task,16,16,10,1,17,20,,,,,
none,IdentifyObj_Task,4,3,3,0,6,3,,,,,
axis,VerifyObj_Task,16,14,10,1,17,18,,,,,
axis,IdentifyObj_Task,9,10,9,0,7,9,,,,,
render,VerifyObj_Task,10,10,8,0,9,7,,,,,
render,IdentifyObj_Task,8,8,8,0,8,8,,,,,
speed,VerifyObj_Task,14,10,12,2,17,15,,,,,
speed,IdentifyObj_Task,8,8,7,1,7,5,,,,,
click,VerifyObj_Task,8,7,8,1,8,7,,,,,
click,IdentifyObj_Task,3,4,3,1,2,3,,,,,
all,VerifyObj_Task,2,2,3,0,2,0,,,,,
all,IdentifyObj_Task,1,1,1,0,1,1,,,,,
axis,IdentifyObj_Task,13,5,13,3,15,11,,,,,
axis,VerifyObj_Task,18,9,13,0,19,17,,,,,
click,IdentifyObj_Task,12,7,8,0,14,7,,,,,
click,VerifyObj_Task,14,1,6,0,14,9,,,,,
none,IdentifyObj_Task,2,2,16,0,13,4,,,,,
none,VerifyObj_Task,14,1,14,0,19,16,,,,,
speed,IdentifyObj_Task,5,5,7,4,4,8,,,,,
speed,VerifyObj_Task,6,6,9,0,6,8,,,,,
render,IdentifyObj_Task,9,11,9,0,12,11,,,,,
render,VerifyObj_Task,15,14,12,3,16,16,,,,,
all,IdentifyObj_Task,12,8,12,1,8,7,,,,,
all,VerifyObj_Task,13,13,11,9,13,12,,,,,
axis,VerifyObj_Task,13,10,11,5,13,10,,,,,
axis,IdentifyObj_Task,8,14,10,10,14,13,,,,,
click,VerifyObj_Task,10,20,10,13,20,17,,,,,
click,IdentifyObj_Task,10,15,10,13,15,14,,,,,
none,VerifyObj_Task,15,16,10,7,12,10,,,,,
none,IdentifyObj_Task,10,10,10,3,8,8,,,,,
speed,VerifyObj_Task,8,8,10,0,7,7,,,,,
speed,IdentifyObj_Task,10,7,7,0,7,0,,,,,
render,VerifyObj_Task,10,12,10,8,11,11,,,,,
render,IdentifyObj_Task,10,13,10,9,12,11,,,,,
all,VerifyObj_Task,11,11,10,6,11,11,,,,,
all,IdentifyObj_Task,11,11,8,5,11,8,,,,,
click,IdentifyObj_Task,14,10,0,3,0,0,,,,,
click,VerifyObj_Task,18,14,14,16,19,19,,,,,
none,IdentifyObj_Task,0,0,0,0,0,0,,,,,
none,VerifyObj_Task,7,7,7,1,13,2,,,,,
axis,IdentifyObj_Task,1,1,1,1,2,0,,,,,
axis,VerifyObj_Task,19,14,11,15,19,19,,,,,
speed,IdentifyObj_Task,0,0,0,0,0,0,,,,,
speed,VerifyObj_Task,4,4,4,2,2,2,,,,,
render,IdentifyObj_Task,0,0,0,0,0,0,,,,,
render,VerifyObj_Task,15,15,13,14,18,18,,,,,
all,IdentifyObj_Task,0,0,0,0,0,2,,,,,
all,VerifyObj_Task,0,0,0,0,0,0,,,,,
click,VerifyObj_Task,13,0,14,13,13,11,,,,,
click,IdentifyObj_Task,13,0,17,2,17,13,,,,,
none,VerifyObj_Task,13,0,15,6,17,10,,,,,
none,IdentifyObj_Task,8,0,16,1,8,7,,,,,
axis,VerifyObj_Task,13,6,7,14,13,14,,,,,
axis,IdentifyObj_Task,12,12,14,6,17,13,,,,,
speed,VerifyObj_Task,12,18,16,6,18,16,,,,,
speed,IdentifyObj_Task,12,9,16,4,17,13,,,,,
render,VerifyObj_Task,14,10,15,7,18,14,,,,,
render,IdentifyObj_Task,13,16,15,2,19,13,,,,,
all,VerifyObj_Task,12,12,18,1,14,12,,,,,
all,IdentifyObj_Task,16,11,15,6,18,15,,,,,
axis,IdentifyObj_Task,13,3,1,6,12,0,,,,,
axis,VerifyObj_Task,12,5,0,0,12,0,,,,,
speed,IdentifyObj_Task,10,0,0,0,7,0,,,,,
speed,VerifyObj_Task,7,0,0,0,8,0,,,,,
render,IdentifyObj_Task,6,3,2,0,13,0,,,,,
render,VerifyObj_Task,14,1,0,0,13,0,,,,,
click,IdentifyObj_Task,8,1,0,0,8,0,,,,,
click,VerifyObj_Task,12,2,0,3,14,0,,,,,
none,IdentifyObj_Task,6,2,0,3,16,0,,,,,
none,VerifyObj_Task,15,4,0,0,17,6,,,,,
all,IdentifyObj_Task,10,0,0,1,5,0,,,,,
all,VerifyObj_Task,5,0,0,1,6,0,,,,,
axis,VerifyObj_Task,14,7,7,4,13,10,,,,,
axis,IdentifyObj_Task,14,14,7,8,14,12,,,,,
speed,VerifyObj_Task,11,7,8,4,11,11,,,,,
speed,IdentifyObj_Task,9,8,5,2,7,6,,,,,
render,VerifyObj_Task,13,11,9,6,14,11,,,,,
render,IdentifyObj_Task,11,8,7,3,11,9,,,,,
click,VerifyObj_Task,16,9,12,6,16,14,,,,,
click,IdentifyObj_Task,11,8,7,2,7,9,,,,,
none,VerifyObj_Task,10,7,8,3,11,9,,,,,
none,IdentifyObj_Task,11,7,9,3,12,9,,,,,
all,VerifyObj_Task,12,11,8,4,12,10,,,,,
all,IdentifyObj_Task,10,8,9,3,9,8,,,,,
render,IdentifyObj_Task,15,14,12,9,14,13,,,,,
render,VerifyObj_Task,14,14,13,8,15,11,,,,,
click,IdentifyObj_Task,13,13,15,5,11,9,,,,,
click,VerifyObj_Task,13,13,12,4,12,10,,,,,
speed,IdentifyObj_Task,16,11,11,5,9,8,,,,,
speed,VerifyObj_Task,14,13,11,6,13,7,,,,,
axis,IdentifyObj_Task,14,13,9,7,13,14,,,,,
axis,VerifyObj_Task,15,15,13,12,12,14,,,,,
none,IdentifyObj_Task,9,9,12,4,14,7,,,,,
none,VerifyObj_Task,16,12,15,12,15,14,,,,,
all,IdentifyObj_Task,12,12,10,6,11,8,,,,,
all,VerifyObj_Task,15,13,13,12,14,14,,,,,
render,VerifyObj_Task,12,3,5,0,12,1,,,,,
render,IdentifyObj_Task,11,2,3,0,11,4,,,,,
click,VerifyObj_Task,8,1,1,1,11,1,,,,,
click,IdentifyObj_Task,6,1,2,0,7,0,,,,,
speed,VerifyObj_Task,6,8,4,0,6,1,,,,,
speed,IdentifyObj_Task,6,4,4,0,5,1,,,,,
axis,VerifyObj_Task,16,14,6,2,13,7,,,,,
axis,IdentifyObj_Task,9,7,8,0,9,1,,,,,
none,VerifyObj_Task,16,12,12,0,14,8,,,,,
none,IdentifyObj_Task,9,5,4,0,7,2,,,,,
all,VerifyObj_Task,3,1,4,0,6,0,,,,,
all,IdentifyObj_Task,7,6,4,2,8,2,,,,,
render,VerifyObj_Task,14,1,13,4,13,7,,,,,
render,IdentifyObj_Task,0,0,0,1,1,0,,,,,
axis,VerifyObj_Task,14,1,14,4,16,3,,,,,
axis,IdentifyObj_Task,4,0,2,2,1,0,,,,,
none,VerifyObj_Task,13,0,6,3,1,0,,,,,
none,IdentifyObj_Task,2,0,1,2,2,2,,,,,
click,VerifyObj_Task,16,1,16,6,17,16,,,,,
click,IdentifyObj_Task,5,0,3,2,1,1,,,,,
speed,VerifyObj_Task,17,1,16,4,16,4,,,,,
speed,IdentifyObj_Task,1,0,1,1,1,0,,,,,
all,VerifyObj_Task,13,1,13,2,2,1,,,,,
all,IdentifyObj_Task,13,17,15,3,17,6,,,,,
speed,IdentifyObj_Task,16,5,12,3,19,11,,,,,
speed,VerifyObj_Task,18,16,5,7,20,11,,,,,
click,IdentifyObj_Task,11,11,10,4,14,2,,,,,
click,VerifyObj_Task,6,0,6,0,16,2,,,,,
axis,IdentifyObj_Task,14,11,4,0,16,9,,,,,
axis,VerifyObj_Task,13,7,12,0,19,8,,,,,
render,IdentifyObj_Task,14,11,5,0,20,11,,,,,
render,VerifyObj_Task,11,0,0,1,12,6,,,,,
none,IdentifyObj_Task,10,0,0,0,17,3,,,,,
none,VerifyObj_Task,6,2,0,0,15,2,,,,,
all,IdentifyObj_Task,12,12,1,0,19,8,,,,,
all,VerifyObj_Task,14,15,7,5,20,13,,,,,
render,IdentifyObj_Task,13,10,11,10,14,9,,,,,
render,VerifyObj_Task,14,10,8,4,12,8,,,,,
axis,IdentifyObj_Task,13,9,9,8,12,10,,,,,
axis,VerifyObj_Task,15,8,11,8,16,11,,,,,
click,IdentifyObj_Task,12,9,9,7,11,9,,,,,
click,VerifyObj_Task,13,10,9,5,12,8,,,,,
speed,IdentifyObj_Task,11,9,9,4,11,7,,,,,
speed,VerifyObj_Task,13,9,9,7,14,11,,,,,
none,IdentifyObj_Task,11,9,9,3,11,6,,,,,
none,VerifyObj_Task,12,7,9,5,11,8,,,,,
all,IdentifyObj_Task,13,9,9,6,12,10,,,,,
all,VerifyObj_Task,11,8,8,2,11,4,,,,,
